disc_era,hostname_canon,n_planets,avg_pl_rade,avg_pl_bmasse
2010s,k2-185,2,1.77,3.95
2010s,k2-188,2,2.09,5.395
2010s,k2-189,2,1.857,4.25
2010s,k2-190,2,1.225,1.875
2010s,k2-195,2,2.853,8.56
2010s,k2-199,2,2.29,9.65
2010s,k2-201,2,2.343,6.67
2010s,k2-21,2,2.165,5.4
2010s,k2-223,2,1.195,1.75
2010s,k2-224,2,1.985,4.72
2010s,k2-229,2,1.515,4.775
2010s,k2-24,2,6.45,17.2
2010s,k2-240,2,1.9,4.275
2010s,k2-243,2,2.09,5.025
2010s,k2-247,2,2.155,5.285
2010s,k2-254,2,1.91,4.36
2010s,k2-264,2,2.45,6.605
2010s,k2-268,2,2.095,5.28
2010s,k2-270,2,2.165,5.745
2010s,k2-275,2,2.275,5.8
2010s,k2-282,2,2.05,4.995
2010s,k2-290,2,7.168,128.45
2010s,k2-35,2,1.625,3.34
2010s,k2-36,2,2.315,6.1
2010s,k2-38,2,1.915,7.8
2010s,k2-43,2,3.465,12.47
2010s,k2-5,2,2.085,5.02
2010s,k2-50,2,1.295,2.061
2010s,k2-59,2,2.355,6.145
2010s,k2-62,2,2.005,4.68
2010s,k2-63,2,3.56,12.5
2010s,k2-75,2,2.72,7.855
2010s,k2-8,2,2.995,9.445
2010s,k2-83,2,1.364,2.44
2010s,k2-84,2,2.22,5.585
2010s,k2-90,2,1.95,4.755
2010s,kelt-6,2,13.786,672.21
2010s,kepler-10,2,1.913,7.265
2010s,kepler-101,2,3.51,27.44
2010s,kepler-1016,2,2.93,9.245
2010s,kepler-103,2,4.47,35.07
2010s,kepler-1047,2,1.54,2.979
2010s,kepler-105,2,1.985,8.2
2010s,kepler-1050,2,1.54,2.99
2010s,kepler-1065,2,2.665,8.295
2010s,kepler-1073,2,1.97,4.615
2010s,kepler-108,2,8.415,53.45
2010s,kepler-1086,2,2.69,7.745
2010s,kepler-109,2,2.57,6.55
2010s,kepler-1093,2,1.955,4.48
2010s,kepler-110,2,2.02,4.765
2010s,kepler-111,2,4.332,112.8
2010s,kepler-112,2,2.38,6.26
2010s,kepler-1129,2,2.845,8.48
2010s,kepler-113,2,2.0,10.2
2010s,kepler-1143,2,2.635,8.015
2010s,kepler-115,2,1.845,4.295
2010s,kepler-1154,2,2.35,6.125
2010s,kepler-116,2,2.86,8.75
2010s,kepler-117,2,10.2,307.328
2010s,kepler-118,2,4.82,25.1
2010s,kepler-119,2,2.26,6.661
2010s,kepler-120,2,1.84,5.73
2010s,kepler-121,2,2.305,5.925
2010s,kepler-123,2,2.21,29.045
2010s,kepler-1245,2,1.44,2.67
2010s,kepler-125,2,1.555,3.27
2010s,kepler-128,2,1.471,3.585
2010s,kepler-129,2,2.46,31.5
2010s,kepler-131,2,1.625,12.19
2010s,kepler-1311,2,1.23,2.025
2010s,kepler-1321,2,3.66,13.925
2010s,kepler-133,2,2.3,6.1
2010s,kepler-1336,2,1.845,4.075
2010s,kepler-134,2,1.63,3.395
2010s,kepler-135,2,1.485,2.79
2010s,kepler-1350,2,2.125,5.27
2010s,kepler-136,2,2.02,12.21
2010s,kepler-1365,2,0.86,0.579
2010s,kepler-137,2,1.675,3.475
2010s,kepler-1370,2,1.555,3.095
2010s,kepler-1371,2,0.685,0.256
2010s,kepler-139,2,3.16,10.0
2010s,kepler-1398,2,0.965,0.873
2010s,kepler-140,2,1.705,3.555
2010s,kepler-141,2,1.05,1.414
2010s,kepler-143,2,2.89,8.845
2010s,kepler-144,2,1.34,2.36
2010s,kepler-145,2,3.485,58.25
2010s,kepler-146,2,3.42,11.63
2010s,kepler-1464,2,1.33,2.181
2010s,kepler-1468,2,1.44,2.62
2010s,kepler-147,2,1.98,4.72
2010s,kepler-151,2,2.575,7.305
2010s,kepler-152,2,2.59,7.25
2010s,kepler-153,2,2.725,7.895
2010s,kepler-1530,2,1.645,3.345
2010s,kepler-155,2,2.165,5.335
2010s,kepler-156,2,2.425,6.47
2010s,kepler-158,2,2.01,4.705
2010s,kepler-159,2,2.895,8.88
2010s,kepler-160,2,2.738,8.595
2010s,kepler-161,2,2.085,3.12
2010s,kepler-162,2,2.145,5.78
2010s,kepler-163,2,1.655,3.445
2010s,kepler-1641,2,3.03,9.43
2010s,kepler-1642,2,2.93,8.93
2010s,kepler-165,2,2.275,5.795
2010s,kepler-168,2,2.075,5.215
2010s,kepler-170,2,3.03,45.575
2010s,kepler-173,2,1.86,4.345
2010s,kepler-175,2,2.83,8.44
2010s,kepler-177,2,6.115,10.27
2010s,kepler-179,2,1.82,3.995
2010s,kepler-180,2,2.255,6.09
2010s,kepler-181,2,1.63,3.385
2010s,kepler-182,2,3.005,9.39
2010s,kepler-183,2,2.165,20.3
2010s,kepler-185,2,1.595,3.225
2010s,kepler-187,2,2.04,5.09
2010s,kepler-188,2,2.435,6.88
2010s,kepler-189,2,1.795,12.31
2010s,kepler-190,2,1.51,2.89
2010s,kepler-193,2,2.57,7.15
2010s,kepler-195,2,1.79,3.9
2010s,kepler-196,2,2.07,4.96
2010s,kepler-199,2,3.18,10.225
2010s,kepler-200,2,1.86,4.165
2010s,kepler-201,2,2.655,7.56
2010s,kepler-202,2,1.74,3.685
2010s,kepler-204,2,2.16,5.4
2010s,kepler-205,2,1.575,3.11
2010s,kepler-209,2,2.68,7.765
2010s,kepler-210,2,3.28,10.88
2010s,kepler-211,2,1.275,10.215
2010s,kepler-212,2,1.915,4.635
2010s,kepler-213,2,1.98,4.67
2010s,kepler-214,2,2.37,6.25
2010s,kepler-216,2,2.695,7.8
2010s,kepler-225,2,1.52,2.955
2010s,kepler-227,2,3.075,9.665
2010s,kepler-230,2,3.15,10.81
2010s,kepler-231,2,1.83,29.75
2010s,kepler-232,2,3.455,11.845
2010s,kepler-233,2,2.57,7.14
2010s,kepler-234,2,3.605,12.65
2010s,kepler-236,2,1.785,3.875
2010s,kepler-237,2,1.745,3.775
2010s,kepler-239,2,2.42,6.445
2010s,kepler-240,2,1.785,52.375
2010s,kepler-241,2,2.45,6.585
2010s,kepler-242,2,2.305,5.99
2010s,kepler-243,2,2.22,5.595
2010s,kepler-246,2,1.92,4.47
2010s,kepler-248,2,3.545,12.49
2010s,kepler-252,2,1.69,3.655
2010s,kepler-258,2,3.835,14.1
2010s,kepler-259,2,2.75,8.0
2010s,kepler-260,2,1.875,4.19
2010s,kepler-261,2,2.09,5.025
2010s,kepler-262,2,1.5,2.875
2010s,kepler-263,2,2.57,7.135
2010s,kepler-264,2,3.08,9.75
2010s,kepler-266,2,3.185,10.555
2010s,kepler-268,2,2.965,9.22
2010s,kepler-269,2,2.08,5.08
2010s,kepler-27,2,4.45,3640.59
2010s,kepler-270,2,1.89,4.24
2010s,kepler-273,2,1.74,3.72
2010s,kepler-274,2,1.69,3.515
2010s,kepler-277,2,3.14,75.75
2010s,kepler-278,2,3.612,45.45
2010s,kepler-28,2,1.908,1.845
2010s,kepler-280,2,1.73,3.7
2010s,kepler-281,2,4.065,242.562
2010s,kepler-283,2,1.975,4.575
2010s,kepler-284,2,2.425,6.485
2010s,kepler-285,2,1.23,1.91
2010s,kepler-287,2,2.795,74.5
2010s,kepler-29,2,2.445,4.75
2010s,kepler-290,2,2.475,6.72
2010s,kepler-291,2,2.02,4.75
2010s,kepler-293,2,3.45,11.82
2010s,kepler-294,2,2.24,5.79
2010s,kepler-297,2,4.705,45.3
2010s,kepler-300,2,1.96,4.56
2010s,kepler-302,2,8.255,15.5
2010s,kepler-303,2,1.015,1.095
2010s,kepler-307,2,2.315,5.54
2010s,kepler-308,2,2.14,5.225
2010s,kepler-309,2,2.035,4.95
2010s,kepler-311,2,1.565,3.08
2010s,kepler-312,2,2.22,6.155
2010s,kepler-313,2,2.55,7.035
2010s,kepler-314,2,1.865,4.624
2010s,kepler-315,2,3.96,14.9
2010s,kepler-316,2,1.11,1.425
2010s,kepler-317,2,1.905,56.705
2010s,kepler-318,2,4.195,16.5
2010s,kepler-320,2,1.255,2.0
2010s,kepler-321,2,2.045,4.885
2010s,kepler-322,2,1.34,2.22
2010s,kepler-323,2,1.476,5.35
2010s,kepler-324,2,2.145,1210.3
2010s,kepler-328,2,3.85,33.95
2010s,kepler-329,2,1.665,3.46
2010s,kepler-330,2,1.65,3.425
2010s,kepler-333,2,1.215,14.805
2010s,kepler-335,2,3.23,10.52
2010s,kepler-337,2,1.795,3.925
2010s,kepler-340,2,2.95,9.12
2010s,kepler-343,2,2.215,5.565
2010s,kepler-344,2,2.78,8.165
2010s,kepler-345,2,0.97,1.34
2010s,kepler-346,2,2.865,8.6
2010s,kepler-347,2,1.86,4.125
2010s,kepler-348,2,1.425,2.625
2010s,kepler-349,2,1.93,49.5
2010s,kepler-352,2,1.05,1.318
2010s,kepler-353,2,1.135,1.56
2010s,kepler-355,2,2.085,5.265
2010s,kepler-356,2,1.69,3.51
2010s,kepler-358,2,2.785,8.175
2010s,kepler-36,2,2.589,5.48
2010s,kepler-360,2,1.875,4.21
2010s,kepler-361,2,1.985,4.8
2010s,kepler-362,2,1.165,1.658
2010s,kepler-364,2,1.85,4.145
2010s,kepler-365,2,1.84,4.075
2010s,kepler-366,2,1.625,3.295
2010s,kepler-367,2,1.25,2.055
2010s,kepler-368,2,3.57,12.5
2010s,kepler-369,2,1.27,2.04
2010s,kepler-370,2,1.75,3.73
2010s,kepler-371,2,1.835,4.025
2010s,kepler-373,2,1.3,2.245
2010s,kepler-375,2,2.05,5.105
2010s,kepler-376,2,1.43,2.55
2010s,kepler-377,2,1.725,3.705
