disc_era,hostname_canon,n_planets,avg_pl_rade,avg_pl_bmasse
2010s,kepler-1140,1,2.77,8.1
2010s,kepler-1141,1,0.82,0.477
2010s,kepler-1142,1,1.47,2.76
2010s,kepler-1144,1,1.99,4.62
2010s,kepler-1145,1,1.4,2.54
2010s,kepler-1146,1,1.23,2.04
2010s,kepler-1147,1,2.61,7.32
2010s,kepler-1148,1,1.69,3.5
2010s,kepler-1149,1,1.44,2.67
2010s,kepler-1150,1,1.02,1.04
2010s,kepler-1151,1,2.22,5.56
2010s,kepler-1152,1,0.87,0.59
2010s,kepler-1153,1,1.73,3.64
2010s,kepler-1155,1,2.03,4.78
2010s,kepler-1156,1,1.32,2.3
2010s,kepler-1157,1,1.09,1.32
2010s,kepler-1158,1,2.34,6.08
2010s,kepler-1159,1,2.37,6.21
2010s,kepler-1160,1,2.14,5.22
2010s,kepler-1161,1,2.13,5.18
2010s,kepler-1162,1,2.21,5.52
2010s,kepler-1163,1,1.03,1.08
2010s,kepler-1164,1,1.12,1.46
2010s,kepler-1165,1,1.55,3.02
2010s,kepler-1166,1,1.69,3.5
2010s,kepler-1167,1,1.71,3.57
2010s,kepler-1168,1,2.5,6.8
2010s,kepler-1169,1,0.94,0.779
2010s,kepler-1170,1,2.41,6.39
2010s,kepler-1171,1,2.56,7.08
2010s,kepler-1172,1,3.2,10.3
2010s,kepler-1173,1,0.89,0.64
2010s,kepler-1174,1,1.59,3.15
2010s,kepler-1175,1,2.99,9.22
2010s,kepler-1176,1,2.45,6.57
2010s,kepler-1177,1,1.9,4.27
2010s,kepler-1178,1,1.07,1.24
2010s,kepler-1179,1,1.32,2.3
2010s,kepler-1180,1,1.99,4.62
2010s,kepler-1181,1,1.57,3.09
2010s,kepler-1182,1,2.41,6.39
2010s,kepler-1183,1,2.82,8.35
2010s,kepler-1184,1,2.68,7.65
2010s,kepler-1185,1,1.33,2.33
2010s,kepler-1186,1,2.23,5.6
2010s,kepler-1187,1,2.61,7.32
2010s,kepler-1188,1,2.08,4.98
2010s,kepler-1189,1,1.77,3.78
2010s,kepler-1190,1,1.33,2.33
2010s,kepler-1191,1,1.51,2.89
2010s,kepler-1192,1,2.36,6.17
2010s,kepler-1193,1,1.32,2.3
2010s,kepler-1194,1,1.51,2.89
2010s,kepler-1195,1,2.08,4.98
2010s,kepler-1196,1,2.23,5.6
2010s,kepler-1197,1,1.25,2.1
2010s,kepler-1198,1,1.47,2.76
2010s,kepler-1199,1,1.15,1.6
2010s,kepler-12,1,19.661,137.303
2010s,kepler-1200,1,1.06,1.2
2010s,kepler-1201,1,2.29,5.86
2010s,kepler-1202,1,2.94,8.96
2010s,kepler-1203,1,1.06,1.2
2010s,kepler-1204,1,3.05,9.53
2010s,kepler-1205,1,1.41,2.57
2010s,kepler-1206,1,1.64,3.33
2010s,kepler-1207,1,1.62,3.26
2010s,kepler-1208,1,2.32,5.99
2010s,kepler-1209,1,1.51,2.89
2010s,kepler-1210,1,1.7,3.53
2010s,kepler-1211,1,2.55,7.04
2010s,kepler-1212,1,2.14,5.22
2010s,kepler-1213,1,1.19,1.81
2010s,kepler-1214,1,2.36,6.17
2010s,kepler-1215,1,1.22,1.98
2010s,kepler-1216,1,1.39,2.51
2010s,kepler-1217,1,1.99,4.62
2010s,kepler-1218,1,1.44,2.67
2010s,kepler-1219,1,2.12,5.14
2010s,kepler-1220,1,1.52,2.92
2010s,kepler-1221,1,1.88,4.19
2010s,kepler-1222,1,0.79,0.418
2010s,kepler-1223,1,1.22,1.98
2010s,kepler-1224,1,1.33,2.33
2010s,kepler-1225,1,1.82,3.97
2010s,kepler-1226,1,1.45,2.7
2010s,kepler-1227,1,2.29,5.86
2010s,kepler-1228,1,1.54,2.99
2010s,kepler-1229,1,1.4,2.54
2010s,kepler-1230,1,2.71,7.8
2010s,kepler-1231,1,1.42,2.6
2010s,kepler-1232,1,1.93,4.38
2010s,kepler-1233,1,2.6,7.27
2010s,kepler-1234,1,2.81,8.3
2010s,kepler-1235,1,0.79,0.418
2010s,kepler-1236,1,2.14,5.22
2010s,kepler-1237,1,2.86,8.55
2010s,kepler-1238,1,1.93,4.38
2010s,kepler-1239,1,2.9,8.75
2010s,kepler-1240,1,1.15,1.6
2010s,kepler-1241,1,2.63,7.41
2010s,kepler-1242,1,2.26,5.73
2010s,kepler-1243,1,1.75,3.71
2010s,kepler-1244,1,1.35,2.39
2010s,kepler-1246,1,1.36,2.42
2010s,kepler-1247,1,2.33,6.04
2010s,kepler-1248,1,1.18,1.76
2010s,kepler-1249,1,2.38,6.26
2010s,kepler-1250,1,1.92,4.35
2010s,kepler-1251,1,1.84,4.04
2010s,kepler-1252,1,1.67,3.43
2010s,kepler-1253,1,1.33,2.33
2010s,kepler-1255,1,2.32,5.99
2010s,kepler-1256,1,1.49,2.83
2010s,kepler-1257,1,1.52,2.92
2010s,kepler-1258,1,0.86,0.566
2010s,kepler-1259,1,1.43,2.63
2010s,kepler-1260,1,1.77,3.78
2010s,kepler-1261,1,2.26,5.73
2010s,kepler-1262,1,1.82,3.97
2010s,kepler-1263,1,1.14,1.55
2010s,kepler-1264,1,1.18,1.76
2010s,kepler-1265,1,1.35,2.39
2010s,kepler-1266,1,2.58,7.18
2010s,kepler-1267,1,3.01,9.32
2010s,kepler-1268,1,2.03,4.78
2010s,kepler-1269,1,1.63,3.29
2010s,kepler-1270,1,3.32,11.0
2010s,kepler-1271,1,1.48,2.79
2010s,kepler-1272,1,2.37,6.21
2010s,kepler-1273,1,2.49,6.76
2010s,kepler-1274,1,1.42,2.6
2010s,kepler-1275,1,1.48,2.79
2010s,kepler-1276,1,1.19,1.81
2010s,kepler-1277,1,1.6,3.19
2010s,kepler-1278,1,1.01,1.01
2010s,kepler-1279,1,1.75,3.71
2010s,kepler-1280,1,1.87,4.16
2010s,kepler-1281,1,1.64,3.33
2010s,kepler-1282,1,1.55,3.02
2010s,kepler-1283,1,1.91,4.31
2010s,kepler-1284,1,1.21,1.92
2010s,kepler-1285,1,0.97,0.871
2010s,kepler-1286,1,2.15,5.27
2010s,kepler-1287,1,1.54,2.99
2010s,kepler-1288,1,1.12,1.46
2010s,kepler-1289,1,1.52,2.92
2010s,kepler-1290,1,1.42,2.6
2010s,kepler-1291,1,1.66,3.39
2010s,kepler-1292,1,1.82,3.97
2010s,kepler-1293,1,0.97,0.871
2010s,kepler-1294,1,3.19,10.3
2010s,kepler-1295,1,1.55,3.02
2010s,kepler-1296,1,0.91,0.693
2010s,kepler-1297,1,0.97,0.871
2010s,kepler-1298,1,1.31,2.27
2010s,kepler-1299,1,2.98,9.17
2010s,kepler-1300,1,1.37,2.45
2010s,kepler-1301,1,1.4,2.54
2010s,kepler-1302,1,1.43,2.63
2010s,kepler-1303,1,1.42,2.6
2010s,kepler-1304,1,2.29,5.86
2010s,kepler-1305,1,1.88,4.19
2010s,kepler-1306,1,1.91,4.31
2010s,kepler-1307,1,2.47,6.66
2010s,kepler-1308,1,0.52,0.093
2010s,kepler-1309,1,2.37,6.21
2010s,kepler-1310,1,1.44,2.67
2010s,kepler-1312,1,2.1,5.06
2010s,kepler-1313,1,1.76,3.75
2010s,kepler-1314,1,5.11,22.9
2010s,kepler-1315,1,1.38,2.48
2010s,kepler-1316,1,3.54,12.3
2010s,kepler-1317,1,1.56,3.05
2010s,kepler-1318,1,3.11,9.85
2010s,kepler-1319,1,1.34,2.36
2010s,kepler-1320,1,1.7,3.53
2010s,kepler-1322,1,1.61,3.22
2010s,kepler-1323,1,1.52,2.92
2010s,kepler-1324,1,1.51,2.89
2010s,kepler-1325,1,2.86,8.55
2010s,kepler-1326,1,4.18,16.3
2010s,kepler-1327,1,1.8,3.89
2010s,kepler-1328,1,0.98,0.904
2010s,kepler-1329,1,2.17,5.35
2010s,kepler-1330,1,1.65,3.36
2010s,kepler-1331,1,1.05,1.16
2010s,kepler-1332,1,1.37,2.45
2010s,kepler-1333,1,2.81,8.3
2010s,kepler-1334,1,2.29,5.86
2010s,kepler-1335,1,1.45,2.7
2010s,kepler-1337,1,2.41,6.39
2010s,kepler-1338,1,0.92,0.721
2010s,kepler-1339,1,0.71,0.285
2010s,kepler-1340,1,1.55,3.02
2010s,kepler-1341,1,2.99,9.22
2010s,kepler-1342,1,1.66,3.39
2010s,kepler-1343,1,1.93,4.38
2010s,kepler-1344,1,1.84,4.04
2010s,kepler-1345,1,2.36,6.17
2010s,kepler-1346,1,1.58,3.12
2010s,kepler-1347,1,1.03,1.08
2010s,kepler-1348,1,1.94,4.42
2010s,kepler-1349,1,0.7,0.271
2010s,kepler-1351,1,0.65,0.208
2010s,kepler-1352,1,0.89,0.64
2010s,kepler-1353,1,1.8,3.89
2010s,kepler-1354,1,2.97,9.11
2010s,kepler-1355,1,1.46,2.73
2010s,kepler-1356,1,1.53,2.96
2010s,kepler-1357,1,1.28,2.18
2010s,kepler-1358,1,1.12,1.46
2010s,kepler-1359,1,2.83,8.4
2010s,kepler-1360,1,3.4,11.5
2010s,kepler-1361,1,0.86,0.566
2010s,kepler-1362,1,2.6,7.27
2010s,kepler-1363,1,1.25,2.1
2010s,kepler-1364,1,2.15,5.27
2010s,kepler-1366,1,1.43,2.63
2010s,kepler-1367,1,0.92,0.721
2010s,kepler-1368,1,1.65,3.36
2010s,kepler-1369,1,2.69,7.7
2010s,kepler-1372,1,1.27,2.15
2010s,kepler-1373,1,1.16,1.65
2010s,kepler-1374,1,2.29,5.86
2010s,kepler-1375,1,1.74,3.68
2010s,kepler-1376,1,1.05,1.16
2010s,kepler-1377,1,1.25,2.1
2010s,kepler-1378,1,2.2,5.48
2010s,kepler-1379,1,1.3,2.24
2010s,kepler-1380,1,1.43,2.63
2010s,kepler-1381,1,2.25,5.69
2010s,kepler-1382,1,1.88,4.19
2010s,kepler-1383,1,1.41,2.57
2010s,kepler-1384,1,1.94,4.42
2010s,kepler-1385,1,0.85,0.543
2010s,kepler-1386,1,1.24,2.07
2010s,kepler-1387,1,0.93,0.749
2010s,kepler-1389,1,1.77,3.78
2010s,kepler-1390,1,1.18,1.76
2010s,kepler-1391,1,1.68,3.46
2010s,kepler-1392,1,1.96,4.5
2010s,kepler-1393,1,0.8,0.437
2010s,kepler-1394,1,1.39,2.51
2010s,kepler-1395,1,0.8,0.437
2010s,kepler-1396,1,2.07,4.94
2010s,kepler-1397,1,1.72,3.61
2010s,kepler-1399,1,1.25,2.1
2010s,kepler-14,1,12.733,2669.66
2010s,kepler-1400,1,1.62,3.26
2010s,kepler-1401,1,1.68,3.46
2010s,kepler-1402,1,0.76,0.363
2010s,kepler-1403,1,2.14,5.22
2010s,kepler-1404,1,2.01,4.7
2010s,kepler-1405,1,3.96,14.9
2010s,kepler-1406,1,1.1,1.37
2010s,kepler-1407,1,2.25,5.69
2010s,kepler-1408,1,0.89,0.64
2010s,kepler-1409,1,1.04,1.12
2010s,kepler-1410,1,1.78,3.82
2010s,kepler-1411,1,2.82,8.35
2010s,kepler-1412,1,0.83,0.498
2010s,kepler-1413,1,1.82,3.97
2010s,kepler-1414,1,1.23,2.04
2010s,kepler-1415,1,1.29,2.21
2010s,kepler-1416,1,0.88,0.615
2010s,kepler-1417,1,1.0,0.972
2010s,kepler-1418,1,1.66,3.39
2010s,kepler-1419,1,2.86,8.55
2010s,kepler-1420,1,1.28,2.18
2010s,kepler-1421,1,0.93,0.749
2010s,kepler-1422,1,2.02,4.74
2010s,kepler-1423,1,1.06,1.2
2010s,kepler-1424,1,1.16,1.65
2010s,kepler-1425,1,0.94,0.779
2010s,kepler-1426,1,1.56,3.05
2010s,kepler-1427,1,1.1,1.37
2010s,kepler-1428,1,1.64,3.33
2010s,kepler-1429,1,1.29,2.21
2010s,kepler-1430,1,1.18,1.76
2010s,kepler-1431,1,1.47,2.76
2010s,kepler-1432,1,2.22,5.56
2010s,kepler-1433,1,1.56,3.05
2010s,kepler-1434,1,1.11,1.41
2010s,kepler-1435,1,0.86,0.566
2010s,kepler-1436,1,1.31,2.27
2010s,kepler-1437,1,1.37,2.45
2010s,kepler-1438,1,0.94,0.779
2010s,kepler-1439,1,1.46,2.73
2010s,kepler-1440,1,1.26,2.13
2010s,kepler-1441,1,1.31,2.27
2010s,kepler-1442,1,3.93,14.7
2010s,kepler-1443,1,0.97,0.871
2010s,kepler-1444,1,2.18,5.39
2010s,kepler-1445,1,0.96,0.84
2010s,kepler-1446,1,0.82,0.477
2010s,kepler-1447,1,2.9,8.75
2010s,kepler-1448,1,1.61,3.22
2010s,kepler-1449,1,1.68,3.46
2010s,kepler-1450,1,1.71,3.57
2010s,kepler-1451,1,3.35,11.2
2010s,kepler-1452,1,2.7,7.75
2010s,kepler-1453,1,2.67,7.61
2010s,kepler-1454,1,1.88,4.19
2010s,kepler-1455,1,2.16,5.31
2010s,kepler-1456,1,1.14,1.55
2010s,kepler-1457,1,1.99,4.62
2010s,kepler-1458,1,2.76,8.05
2010s,kepler-1459,1,1.36,2.42
2010s,kepler-1460,1,1.96,4.5
2010s,kepler-1461,1,2.03,4.78
2010s,kepler-1462,1,3.82,14.0
2010s,kepler-1463,1,1.86,4.12
2010s,kepler-1465,1,1.77,3.78
2010s,kepler-1466,1,1.55,3.02
2010s,kepler-1467,1,3.3,10.9
2010s,kepler-1469,1,2.8,8.25
2010s,kepler-1470,1,1.07,1.24
2010s,kepler-1471,1,1.41,2.57
2010s,kepler-1472,1,1.9,4.27
2010s,kepler-1473,1,1.19,1.81
2010s,kepler-1474,1,2.16,5.31
2010s,kepler-1475,1,2.92,8.85
2010s,kepler-1476,1,1.67,3.43
2010s,kepler-1477,1,1.18,1.76
2010s,kepler-1478,1,1.73,3.64
2010s,kepler-1479,1,1.83,4.01
2010s,kepler-1480,1,1.67,3.43
2010s,kepler-1481,1,1.23,2.04
2010s,kepler-1482,1,1.01,1.01
2010s,kepler-1483,1,1.52,2.92
2010s,kepler-1484,1,2.11,5.1
2010s,kepler-1485,1,1.47,2.76
2010s,kepler-1486,1,2.32,5.99
2010s,kepler-1487,1,2.13,5.18
2010s,kepler-1488,1,1.86,4.12
2010s,kepler-1489,1,1.77,3.78
2010s,kepler-1490,1,3.04,9.48
2010s,kepler-1491,1,1.51,2.89
2010s,kepler-1492,1,1.49,2.83
2010s,kepler-1493,1,1.41,2.57
2010s,kepler-1494,1,3.07,9.64
2010s,kepler-1495,1,2.94,8.96
2010s,kepler-1496,1,2.22,5.56
2010s,kepler-1497,1,1.66,3.39
2010s,kepler-1498,1,1.33,2.33
2010s,kepler-1499,1,1.19,1.81
2010s,kepler-15,1,10.76,209.76
2010s,kepler-1500,1,1.2,1.87
2010s,kepler-1501,1,1.56,3.05
2010s,kepler-1502,1,3.18,10.2
2010s,kepler-1503,1,2.27,5.77
2010s,kepler-1504,1,2.13,5.18
2010s,kepler-1505,1,0.93,0.749
2010s,kepler-1506,1,1.32,2.3
2010s,kepler-1507,1,0.84,0.52
2010s,kepler-1508,1,1.33,2.33
2010s,kepler-1509,1,1.85,4.08
2010s,kepler-1510,1,3.36,11.2
2010s,kepler-1511,1,1.68,3.46
2010s,kepler-1512,1,1.18,1.76
2010s,kepler-1513,1,8.594,48.31
2010s,kepler-1514,1,12.42,1678.142
2010s,kepler-1515,1,9.55,66.2
2010s,kepler-1516,1,1.75,3.71
2010s,kepler-1517,1,9.76,68.7
2010s,kepler-1518,1,3.05,9.53
2010s,kepler-1519,1,7.06,39.6
2010s,kepler-1520,1,5.77,28.1
2010s,kepler-1521,1,2.5,6.8
2010s,kepler-1522,1,1.73,3.64
2010s,kepler-1523,1,1.58,3.12
2010s,kepler-1524,1,3.54,12.3
2010s,kepler-1525,1,0.91,0.693
2010s,kepler-1526,1,2.43,6.48
2010s,kepler-1527,1,4.77,20.4
2010s,kepler-1528,1,1.46,2.73
2010s,kepler-1529,1,2.1,5.06
2010s,kepler-1531,1,1.11,1.41
2010s,kepler-1532,1,1.35,2.39
2010s,kepler-1533,1,3.46,11.8
2010s,kepler-1534,1,1.89,4.23
2010s,kepler-1535,1,2.55,7.04
2010s,kepler-1536,1,3.14,10.0
2010s,kepler-1537,1,1.18,1.76
2010s,kepler-1538,1,2.82,8.35
2010s,kepler-1539,1,2.7,7.75
2010s,kepler-1540,1,2.49,6.76
2010s,kepler-1541,1,1.16,1.65
2010s,kepler-1543,1,2.71,7.8
2010s,kepler-1544,1,1.78,3.82
2010s,kepler-1545,1,2.7,7.75
2010s,kepler-1546,1,3.13,9.96
2010s,kepler-1547,1,0.9,0.666
2010s,kepler-1548,1,2.64,7.46
2010s,kepler-1549,1,2.57,7.13
2010s,kepler-1550,1,3.02,9.38
2010s,kepler-1551,1,2.66,7.56
2010s,kepler-1552,1,2.47,6.66
2010s,kepler-1553,1,1.15,1.6
2010s,kepler-1554,1,2.9,8.75
2010s,kepler-1555,1,1.61,3.22
2010s,kepler-1556,1,1.96,4.5
2010s,kepler-1557,1,1.53,2.96
2010s,kepler-1558,1,0.68,0.244
2010s,kepler-1559,1,0.72,0.299
2010s,kepler-1560,1,0.89,0.64
2010s,kepler-1561,1,1.09,1.32
2010s,kepler-1562,1,3.55,12.3
2010s,kepler-1563,1,0.75,0.347
2010s,kepler-1564,1,1.47,2.76
2010s,kepler-1565,1,1.19,1.81
2010s,kepler-1566,1,0.79,0.418
2010s,kepler-1567,1,2.73,7.9
2010s,kepler-1568,1,1.3,2.24
2010s,kepler-1569,1,1.68,3.46
2010s,kepler-1570,1,1.07,1.24
2010s,kepler-1571,1,1.52,2.92
2010s,kepler-1572,1,0.94,0.779
2010s,kepler-1573,1,1.2,1.87
2010s,kepler-1574,1,1.29,2.21
2010s,kepler-1575,1,1.31,2.27
2010s,kepler-1576,1,1.04,1.12
2010s,kepler-1577,1,1.13,1.51
2010s,kepler-1578,1,1.04,1.12
2010s,kepler-1579,1,0.84,0.52
2010s,kepler-1580,1,2.11,5.1
2010s,kepler-1581,1,0.8,0.437
2010s,kepler-1582,1,1.49,2.83
2010s,kepler-1583,1,0.6,0.156
2010s,kepler-1584,1,1.61,3.22
2010s,kepler-1585,1,1.79,3.86
2010s,kepler-1586,1,1.52,2.92
2010s,kepler-1587,1,1.33,2.33
2010s,kepler-1588,1,0.76,0.363
2010s,kepler-1589,1,1.09,1.32
2010s,kepler-1590,1,1.14,1.55
2010s,kepler-1591,1,1.27,2.15
2010s,kepler-1592,1,1.54,2.99
2010s,kepler-1593,1,3.17,10.2
2010s,kepler-1594,1,1.06,1.2
2010s,kepler-1595,1,1.23,2.04
2010s,kepler-1596,1,1.9,4.27
2010s,kepler-1597,1,1.06,1.2
2010s,kepler-1598,1,0.95,0.809
2010s,kepler-1599,1,1.62,3.26
2010s,kepler-16,1,8.449,105.833
2010s,kepler-1600,1,3.13,9.96
2010s,kepler-1601,1,0.82,0.477
2010s,kepler-1602,1,1.34,2.36
2010s,kepler-1603,1,1.29,2.21
2010s,kepler-1604,1,1.41,2.57
2010s,kepler-1605,1,1.08,1.28
2010s,kepler-1606,1,2.07,4.94
2010s,kepler-1607,1,0.92,0.721
2010s,kepler-1608,1,1.73,3.64
2010s,kepler-1609,1,2.22,5.56
2010s,kepler-1610,1,1.61,3.22
2010s,kepler-1611,1,0.81,0.457
2010s,kepler-1612,1,1.03,1.08
2010s,kepler-1613,1,2.08,4.98
2010s,kepler-1614,1,1.49,2.83
2010s,kepler-1615,1,2.06,4.9
2010s,kepler-1616,1,1.02,1.04
2010s,kepler-1617,1,1.2,1.87
2010s,kepler-1618,1,1.26,2.13
2010s,kepler-1619,1,0.76,0.363
2010s,kepler-1620,1,1.61,3.22
2010s,kepler-1621,1,2.16,5.31
2010s,kepler-1622,1,1.47,2.76
2010s,kepler-1623,1,1.31,2.27
2010s,kepler-1624,1,5.7,27.6
2010s,kepler-1625,1,6.06,30.6
2010s,kepler-1626,1,2.02,4.74
2010s,kepler-1627,1,3.69,13.2
2010s,kepler-1628,1,6.43,33.8
2010s,kepler-1629,1,0.77,0.381
2010s,kepler-1630,1,2.19,5.43
2010s,kepler-1631,1,1.35,2.39
2010s,kepler-1632,1,2.47,6.66
2010s,kepler-1633,1,1.58,3.12
2010s,kepler-1634,1,3.19,10.3
2010s,kepler-1635,1,3.64,12.9
2010s,kepler-1636,1,3.23,10.5
2010s,kepler-1637,1,0.89,0.64
2010s,kepler-1638,1,1.87,4.16
2010s,kepler-1639,1,2.58,7.18
2010s,kepler-1640,1,4.82,20.7
2010s,kepler-1643,1,2.32,5.99
2010s,kepler-1644,1,1.88,4.19
2010s,kepler-1645,1,1.78,3.82
2010s,kepler-1646,1,1.23,2.04
2010s,kepler-1647,1,11.874,483.0
2010s,kepler-1649,1,1.017,1.03
2010s,kepler-1650,1,0.96,0.84
2010s,kepler-1651,1,1.84,4.04
2010s,kepler-1652,1,1.6,3.19
2010s,kepler-1653,1,2.17,5.35
2010s,kepler-1654,1,9.18,158.915
2010s,kepler-1655,1,2.213,5.4
2010s,kepler-1656,1,4.574,47.8
2010s,kepler-17,1,14.68,778.65
2010s,kepler-1704,1,11.949,1322.166
2010s,kepler-21,1,1.639,7.5
2010s,kepler-22,1,2.1,9.1
2010s,kepler-34,1,8.564,69.92
2010s,kepler-35,1,8.16,40.363
2010s,kepler-38,1,4.3,122.0
2010s,kepler-39,1,13.9,6388.1
2010s,kepler-40,1,13.11,699.2
2010s,kepler-408,1,0.82,5.0
2010s,kepler-409,1,1.199,6.0
2010s,kepler-41,1,14.46,177.98
2010s,kepler-410 a,1,2.838,8.44
2010s,kepler-412,1,15.031,299.078
2010s,kepler-413,1,4.347,67.0
2010s,kepler-418,1,13.45,349.611
2010s,kepler-421,1,4.16,16.1
2010s,kepler-422,1,12.89,136.66
2010s,kepler-423,1,13.361,189.101
2010s,kepler-425,1,10.962,79.45
2010s,kepler-426,1,12.22,108.06
2010s,kepler-427,1,13.79,92.17
2010s,kepler-428,1,12.11,403.63
2010s,kepler-43,1,13.664,1026.591
2010s,kepler-433,1,16.25,896.24
2010s,kepler-434,1,12.67,908.96
2010s,kepler-435,1,22.31,266.97
2010s,kepler-437,1,2.14,5.22
2010s,kepler-438,1,1.12,1.46
2010s,kepler-439,1,2.24,5.65
2010s,kepler-44,1,12.22,317.82
2010s,kepler-440,1,1.86,4.12
2010s,kepler-441,1,1.64,3.33
2010s,kepler-442,1,1.34,2.36
2010s,kepler-443,1,2.33,6.04
2010s,kepler-447,1,18.49,435.41
2010s,kepler-45,1,10.76,160.497
2010s,kepler-452,1,1.63,3.29
2010s,kepler-453,1,6.204,16.0
2010s,kepler-461,1,2.58,7.18
2010s,kepler-462,1,3.0,53.9
2010s,kepler-463,1,3.05,9.53
2010s,kepler-464,1,3.3,10.9
2010s,kepler-465,1,2.95,9.01
2010s,kepler-467,1,2.25,5.69
2010s,kepler-468,1,13.34,
2010s,kepler-471,1,14.96,
2010s,kepler-472,1,3.22,10.5
2010s,kepler-473,1,4.08,15.6
2010s,kepler-474,1,3.06,9.59
2010s,kepler-475,1,2.49,6.76
2010s,kepler-476,1,3.08,9.69
2010s,kepler-477,1,2.07,4.94
2010s,kepler-478,1,2.71,7.8
2010s,kepler-479,1,2.12,5.14
2010s,kepler-480,1,2.78,8.15
2010s,kepler-481,1,2.5,6.8
2010s,kepler-482,1,2.36,6.17
2010s,kepler-483,1,3.21,10.4
2010s,kepler-484,1,2.28,5.82
2010s,kepler-485,1,14.41,
2010s,kepler-489,1,7.72,46.1
2010s,kepler-490,1,11.65,
2010s,kepler-491,1,8.92,59.0
2010s,kepler-493,1,15.13,
2010s,kepler-495,1,5.23,23.8
2010s,kepler-496,1,2.32,5.99
2010s,kepler-497,1,6.04,30.4
2010s,kepler-498,1,3.03,9.43
2010s,kepler-499,1,2.17,5.35
2010s,kepler-500,1,2.58,7.18
2010s,kepler-501,1,4.3,17.1
2010s,kepler-502,1,4.77,20.4
2010s,kepler-504,1,1.59,3.15
2010s,kepler-505,1,2.6,7.27
2010s,kepler-506,1,2.73,7.9
2010s,kepler-507,1,1.3,5.697
2010s,kepler-508,1,1.64,3.33
2010s,kepler-509,1,2.49,6.76
2010s,kepler-510,1,2.47,6.66
2010s,kepler-511,1,6.35,33.1
2010s,kepler-512,1,2.69,7.7
2010s,kepler-513,1,2.2,5.48
2010s,kepler-514,1,1.72,3.61
2010s,kepler-515,1,1.46,2.73
2010s,kepler-516,1,5.74,27.9
2010s,kepler-517,1,2.67,7.61
2010s,kepler-518,1,2.11,5.1
2010s,kepler-519,1,2.1,5.06
2010s,kepler-521,1,3.18,10.2
2010s,kepler-522,1,6.91,38.2
2010s,kepler-523,1,1.96,4.5
2010s,kepler-525,1,2.63,7.41
2010s,kepler-526,1,1.99,4.62
2010s,kepler-527,1,2.84,8.45
2010s,kepler-528,1,2.08,4.98
2010s,kepler-530,1,3.01,9.32
2010s,kepler-531,1,2.78,8.15
2010s,kepler-532,1,2.57,7.13
2010s,kepler-533,1,3.38,11.4
2010s,kepler-534,1,2.24,5.65
2010s,kepler-535,1,2.36,6.17
2010s,kepler-536,1,3.1,9.8
2010s,kepler-537,1,1.41,2.57
2010s,kepler-538,1,2.215,12.9
2010s,kepler-540,1,2.71,7.8
2010s,kepler-541,1,3.36,11.2
2010s,kepler-542,1,1.57,3.09
2010s,kepler-543,1,2.5,6.8
2010s,kepler-544,1,2.12,5.14
2010s,kepler-545,1,2.69,7.7
2010s,kepler-546,1,7.0,39.1
2010s,kepler-547,1,4.0,15.1
2010s,kepler-548,1,11.99,
2010s,kepler-550,1,4.42,17.9
2010s,kepler-551,1,2.73,7.9
2010s,kepler-552,1,3.95,14.8
2010s,kepler-554,1,4.29,17.0
2010s,kepler-555,1,2.83,8.4
2010s,kepler-556,1,2.24,5.65
2010s,kepler-557,1,2.67,7.61
2010s,kepler-558,1,2.37,6.21
2010s,kepler-559,1,3.61,12.7
2010s,kepler-560,1,1.72,3.61
2010s,kepler-562,1,5.21,23.7
2010s,kepler-563,1,3.09,9.75
2010s,kepler-564,1,4.63,19.4
2010s,kepler-565,1,3.64,12.9
2010s,kepler-566,1,2.15,5.27
2010s,kepler-567,1,2.25,5.69
2010s,kepler-568,1,2.26,5.73
2010s,kepler-569,1,3.16,10.1
2010s,kepler-570,1,2.45,6.57
2010s,kepler-571,1,2.64,7.46
2010s,kepler-572,1,2.58,7.18
2010s,kepler-573,1,2.79,8.2
2010s,kepler-574,1,2.39,6.3
2010s,kepler-575,1,2.39,6.3
2010s,kepler-576,1,3.27,10.7
2010s,kepler-577,1,2.55,7.04
2010s,kepler-578,1,2.0,4.66
2010s,kepler-579,1,2.0,4.66
2010s,kepler-580,1,2.57,7.13
2010s,kepler-581,1,2.63,7.41
2010s,kepler-582,1,3.68,13.1
2010s,kepler-583,1,2.28,5.82
2010s,kepler-584,1,4.21,16.5
2010s,kepler-585,1,2.83,8.4
2010s,kepler-586,1,2.79,8.2
2010s,kepler-587,1,2.23,5.6
2010s,kepler-588,1,2.63,7.41
2010s,kepler-589,1,2.27,5.77
2010s,kepler-590,1,4.02,15.2
2010s,kepler-591,1,3.39,11.4
2010s,kepler-592,1,2.39,6.3
2010s,kepler-593,1,2.87,8.6
2010s,kepler-594,1,2.18,5.39
2010s,kepler-595,1,3.708,17.4
2010s,kepler-596,1,3.46,11.8
2010s,kepler-597,1,2.37,6.21
2010s,kepler-598,1,1.5,2.86
2010s,kepler-599,1,2.84,8.45
2010s,kepler-600,1,2.9,8.75
2010s,kepler-601,1,1.9,4.27
2010s,kepler-602,1,2.09,5.02
2010s,kepler-604,1,2.59,7.22
2010s,kepler-606,1,3.31,11.0
2010s,kepler-607,1,0.87,0.59
2010s,kepler-608,1,3.64,12.9
2010s,kepler-609,1,3.35,11.2
2010s,kepler-61,1,2.15,5.27
2010s,kepler-611,1,1.65,3.36
