pl_name,hostname,discoverymethod,disc_year,sy_snum,sy_pnum,sy_dist,ra,dec,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass
"OGLE-2005-BLG-390L b","OGLE-2005-BLG-390L","Microlensing",2005,1,1,6600.00000000,268.5799580,-30.3773056,3285.00000000000,2.21000000,5.50000000,50.00,,,0.220000
"HN Peg b","HN Peg","Imaging",2006,1,1,18.11860000,326.1315705,14.7714524,,11.77680000,6991.57000000,,6186.00,1.006954,1.080000
"HD 102365 b","HD 102365","Radial Velocity",2010,2,1,9.28940000,176.6208003,-40.4986211,122.10000000000,4.14000000,16.00000000,,5630.00,0.951380,0.850000
"MOA-2009-BLG-387L b","MOA-2009-BLG-387L","Microlensing",2010,1,1,5690.00000000,268.4616250,-33.9903333,1980.00000000000,13.20000000,830.00000000,,,,0.190000
"GJ 674 b","GJ 674","Radial Velocity",2007,1,1,4.54896000,262.1700476,-46.8989826,4.69380000000,3.33000000,11.09000000,,3600.00,0.364630,0.350000
"CoRoT-11 b","CoRoT-11","Transit",2010,1,1,655.03700000,280.6872998,5.9376586,2.99433000000,16.03000000,740.51000000,1657.00,6440.00,1.370000,1.270000
"HD 69830 c","HD 69830","Radial Velocity",2006,1,3,12.55910000,124.6010091,-12.6364246,31.56000000000,3.46000000,11.80000000,,5385.00,0.886947,0.860000
"2MASS J04414489+2301513 b","2MASS J04414489+2301513","Imaging",2010,1,1,120.42398696,70.4371079,23.0308544,,12.60000000,2383.60000000,,2936.00,0.231916,0.019000
"GJ 3634 b","GJ 3634","Radial Velocity",2010,1,1,20.37790000,164.6433493,-31.1443383,2.64561000000,2.83000000,8.40000000,,3517.00,0.430000,0.450000
"CoRoT-13 b","CoRoT-13","Transit",2010,1,1,1148.93000000,102.7211432,-5.0864557,4.03519000000,9.92000000,415.70400000,1700.00,5945.00,1.010000,1.090000
"OGLE-TR-10 b","OGLE-TR-10","Transit",2004,1,1,1344.97000000,267.8677483,-29.8764758,3.10127800000,14.01100000,197.04600000,1702.00,5950.00,1.170000,1.140000
"HD 27442 b","HD 27442","Radial Velocity",2000,2,1,18.27040000,64.1205476,-59.3028771,428.10000000000,13.50000000,495.80000000,,4846.00,3.180000,1.230000
